numberOfClusters;Cluster;Date;Hour;isValidation;isCentroid
6;0;2012-01-04;8;0;0
6;0;2012-01-04;13;0;0
6;0;2012-01-06;2;0;0
6;0;2012-01-06;8;0;0
6;0;2012-01-06;14;0;0
6;0;2012-01-08;4;0;0
6;0;2012-01-08;11;0;0
6;0;2012-01-08;22;0;0
6;0;2012-01-09;22;0;0
6;0;2012-01-10;1;0;0
6;0;2012-01-15;12;0;0
6;0;2012-01-21;6;0;0
6;0;2012-01-21;10;0;0
6;0;2012-02-26;15;0;0
6;0;2012-03-01;23;0;0
6;0;2012-03-02;17;0;0
6;0;2012-03-03;4;0;0
6;0;2012-03-03;12;0;0
6;0;2012-03-07;3;0;0
6;0;2012-03-07;7;0;0
6;0;2012-03-07;16;0;0
6;0;2012-03-12;3;0;0
6;0;2012-03-13;6;0;0
6;0;2012-03-13;14;0;0
6;0;2012-03-14;2;0;0
6;0;2012-03-14;17;0;0
6;0;2012-03-14;22;0;0
6;0;2012-03-15;3;0;0
6;0;2012-03-16;3;0;0
6;0;2012-03-18;5;0;0
6;0;2012-03-19;4;0;0
6;0;2012-03-19;14;0;0
6;0;2012-03-19;17;0;1
6;0;2012-03-20;0;0;0
6;0;2012-03-20;19;0;0
6;0;2012-03-20;20;0;0
6;0;2012-03-21;6;0;0
6;0;2012-03-21;9;0;0
6;0;2012-03-22;17;0;0
6;0;2012-03-22;18;0;0
6;0;2012-03-23;7;0;0
6;0;2012-03-23;9;0;0
6;0;2012-03-23;20;0;0
6;0;2012-03-24;12;0;0
6;0;2012-03-24;20;0;0
6;0;2012-03-26;12;0;0
6;0;2012-03-27;4;0;0
6;0;2012-03-29;11;0;0
6;0;2012-03-29;15;0;0
6;0;2012-03-29;16;0;0
6;0;2012-03-31;9;0;0
6;0;2012-04-02;14;0;0
6;0;2012-04-02;20;0;0
6;0;2012-04-04;9;0;0
6;0;2012-04-04;13;0;0
6;0;2012-04-06;9;0;0
6;1;2012-05-02;1;0;0
6;1;2012-05-02;2;0;0
6;1;2012-05-03;1;0;0
6;1;2012-05-12;2;0;0
6;1;2012-05-13;1;0;0
6;1;2012-05-13;2;0;0
6;1;2012-05-22;4;0;0
6;1;2012-05-23;0;0;0
6;1;2012-05-23;3;0;0
6;1;2012-05-30;2;0;0
6;1;2012-05-30;3;0;0
6;1;2012-06-01;1;0;0
6;1;2012-06-01;4;0;0
6;1;2012-06-06;0;0;0
6;1;2012-06-12;2;0;0
6;1;2012-06-14;3;0;0
6;1;2012-06-15;2;0;0
6;1;2012-06-16;6;0;0
6;1;2012-06-17;4;0;0
6;1;2012-06-17;5;0;0
6;1;2012-06-18;0;0;1
6;1;2012-06-18;3;0;0
6;1;2012-06-18;8;0;0
6;1;2012-06-18;10;0;0
6;1;2012-06-18;14;0;0
6;1;2012-06-19;0;0;0
6;1;2012-06-20;23;0;0
6;1;2012-06-24;2;0;0
6;1;2012-06-24;4;0;0
6;1;2012-06-25;4;0;0
6;1;2012-06-26;3;0;0
6;1;2012-06-29;3;0;0
6;1;2012-06-29;6;0;0
6;2;2012-01-01;4;0;0
6;2;2012-01-04;1;0;0
6;2;2012-03-28;3;0;0
6;2;2012-03-30;23;0;0
6;2;2012-04-01;0;0;0
6;2;2012-04-01;8;0;0
6;2;2012-04-01;14;0;0
6;2;2012-04-01;18;0;0
6;2;2012-04-02;2;0;0
6;2;2012-04-03;4;0;0
6;2;2012-04-03;23;0;0
6;2;2012-04-04;16;0;0
6;2;2012-04-05;18;0;0
6;2;2012-04-06;2;0;0
6;2;2012-04-07;11;0;0
6;2;2012-04-08;13;0;0
6;2;2012-04-09;2;0;0
6;2;2012-04-09;12;0;0
6;2;2012-04-10;4;0;0
6;2;2012-04-10;20;0;0
6;2;2012-04-10;21;0;0
6;2;2012-04-10;23;0;0
6;2;2012-04-11;19;0;0
6;2;2012-04-11;22;0;0
6;2;2012-04-12;1;0;0
6;2;2012-04-13;2;0;0
6;2;2012-04-13;4;0;0
6;2;2012-04-14;23;0;0
6;2;2012-04-15;0;0;0
6;2;2012-04-15;7;0;0
6;2;2012-04-16;9;0;0
6;2;2012-04-16;11;0;0
6;2;2012-04-16;14;0;0
6;2;2012-04-17;8;0;0
6;2;2012-04-18;3;0;0
6;2;2012-04-18;6;0;0
6;2;2012-04-18;11;0;0
6;2;2012-04-18;22;0;0
6;2;2012-04-19;1;0;0
6;2;2012-04-19;9;0;0
6;2;2012-04-19;17;0;0
6;2;2012-04-20;9;0;1
6;2;2012-04-20;15;0;0
6;2;2012-04-20;18;0;0
6;2;2012-04-21;16;0;0
6;2;2012-04-22;10;0;0
6;2;2012-04-23;7;0;0
6;2;2012-04-23;9;0;0
6;2;2012-04-23;11;0;0
6;2;2012-04-24;20;0;0
6;2;2012-04-25;15;0;0
6;2;2012-04-25;22;0;0
6;2;2012-04-26;22;0;0
6;2;2012-04-27;7;0;0
6;2;2012-04-28;20;0;0
6;3;2012-01-06;18;0;0
6;3;2012-01-09;18;0;0
6;3;2012-01-10;13;0;0
6;3;2012-01-10;18;0;0
6;3;2012-01-11;2;0;0
6;3;2012-01-11;8;0;0
6;3;2012-01-11;13;0;0
6;3;2012-01-12;3;0;0
6;3;2012-01-12;13;0;0
6;3;2012-01-13;18;0;0
6;3;2012-01-15;22;0;0
6;3;2012-01-16;14;0;0
6;3;2012-01-17;5;0;0
6;3;2012-01-18;0;0;0
6;3;2012-01-20;6;0;0
6;3;2012-01-21;2;0;0
6;3;2012-01-22;7;0;0
6;3;2012-01-23;4;0;0
6;3;2012-01-23;9;0;0
6;3;2012-01-23;10;0;0
6;3;2012-01-23;11;0;0
6;3;2012-01-23;12;0;0
6;3;2012-01-25;2;0;1
6;3;2012-01-25;11;0;0
6;3;2012-01-25;14;0;0
6;3;2012-01-26;4;0;0
6;3;2012-01-27;3;0;0
6;3;2012-01-29;4;0;0
6;3;2012-01-30;0;0;0
6;3;2012-01-30;6;0;0
6;3;2012-01-31;1;0;0
6;3;2012-02-01;5;0;0
6;3;2012-02-02;1;0;0
6;3;2012-02-03;4;0;0
6;3;2012-02-05;23;0;0
6;3;2012-02-06;1;0;0
6;3;2012-02-07;1;0;0
6;3;2012-02-07;3;0;0
6;3;2012-02-21;3;0;0
6;3;2012-02-21;4;0;0
6;3;2012-02-23;4;0;0
6;3;2012-02-24;23;0;0
6;3;2012-02-29;4;0;0
6;4;2012-01-18;20;0;0
6;4;2012-01-21;16;0;0
6;4;2012-01-27;11;0;0
6;4;2012-01-28;15;0;0
6;4;2012-01-29;18;0;0
6;4;2012-01-29;21;0;0
6;4;2012-01-31;17;0;0
6;4;2012-01-31;21;0;0
6;4;2012-02-02;22;0;0
6;4;2012-02-04;11;0;0
6;4;2012-02-05;15;0;0
6;4;2012-02-06;14;0;0
6;4;2012-02-07;15;0;0
6;4;2012-02-07;23;0;0
6;4;2012-02-09;8;0;0
6;4;2012-02-09;11;0;0
6;4;2012-02-10;8;0;0
6;4;2012-02-10;18;0;0
6;4;2012-02-11;8;0;0
6;4;2012-02-12;15;0;0
6;4;2012-02-13;5;0;0
6;4;2012-02-13;10;0;0
6;4;2012-02-14;0;0;0
6;4;2012-02-14;7;0;0
6;4;2012-02-14;22;0;0
6;4;2012-02-15;2;0;0
6;4;2012-02-16;0;0;0
6;4;2012-02-16;8;0;0
6;4;2012-02-16;21;0;1
6;4;2012-02-17;9;0;0
6;4;2012-02-17;11;0;0
6;4;2012-02-18;9;0;0
6;4;2012-02-18;12;0;0
6;4;2012-02-18;16;0;0
6;4;2012-02-19;5;0;0
6;4;2012-02-20;23;0;0
6;4;2012-02-21;18;0;0
6;4;2012-02-22;16;0;0
6;4;2012-02-22;22;0;0
6;4;2012-02-25;20;0;0
6;4;2012-02-26;18;0;0
6;4;2012-02-27;9;0;0
6;4;2012-02-28;8;0;0
6;4;2012-02-28;21;0;0
6;4;2012-03-01;9;0;0
6;4;2012-03-06;8;0;0
6;4;2012-03-06;18;0;0
6;4;2012-03-06;19;0;0
6;5;2012-04-21;3;0;0
6;5;2012-04-25;0;0;0
6;5;2012-04-25;1;0;0
6;5;2012-04-26;6;0;0
6;5;2012-04-27;4;0;0
6;5;2012-04-29;10;0;0
6;5;2012-04-29;11;0;0
6;5;2012-04-29;12;0;0
6;5;2012-04-29;15;0;0
6;5;2012-04-29;20;0;0
6;5;2012-04-30;7;0;0
6;5;2012-04-30;13;0;0
6;5;2012-04-30;15;0;0
6;5;2012-04-30;20;0;0
6;5;2012-05-01;19;0;0
6;5;2012-05-04;0;0;0
6;5;2012-05-04;23;0;0
6;5;2012-05-05;6;0;0
6;5;2012-05-05;20;0;0
6;5;2012-05-07;12;0;0
6;5;2012-05-08;12;0;0
6;5;2012-05-10;19;0;0
6;5;2012-05-10;21;0;0
6;5;2012-05-10;22;0;0
6;5;2012-05-11;12;0;0
6;5;2012-05-12;11;0;0
6;5;2012-05-12;19;0;0
6;5;2012-05-13;7;0;0
6;5;2012-05-13;9;0;0
6;5;2012-05-13;20;0;0
6;5;2012-05-14;7;0;0
6;5;2012-05-14;8;0;0
6;5;2012-05-14;14;0;0
6;5;2012-05-15;13;0;0
6;5;2012-05-15;22;0;0
6;5;2012-05-16;3;0;0
6;5;2012-05-16;15;0;0
6;5;2012-05-16;17;0;0
6;5;2012-05-16;23;0;0
6;5;2012-05-19;10;0;0
6;5;2012-05-20;8;0;0
6;5;2012-05-20;17;0;0
6;5;2012-05-22;18;0;0
6;5;2012-05-23;20;0;0
6;5;2012-05-24;5;0;0
6;5;2012-05-25;6;0;0
6;5;2012-05-25;10;0;0
6;5;2012-05-25;20;0;0
6;5;2012-05-27;19;0;0
6;5;2012-05-27;21;0;0
6;5;2012-05-28;10;0;0
6;5;2012-05-28;14;0;0
6;5;2012-05-28;22;0;0
6;5;2012-05-30;11;0;0
6;5;2012-05-31;19;0;0
6;5;2012-06-01;23;0;0
6;5;2012-06-02;8;0;0
6;5;2012-06-02;17;0;0
6;5;2012-06-02;19;0;0
6;5;2012-06-03;7;0;0
6;5;2012-06-03;21;0;0
6;5;2012-06-04;16;0;0
6;5;2012-06-04;18;0;0
6;5;2012-06-05;23;0;0
6;5;2012-06-07;19;0;0
6;5;2012-06-08;15;0;0
6;5;2012-06-09;19;0;0
6;5;2012-06-09;21;0;0
6;5;2012-06-10;0;0;0
6;5;2012-06-10;18;0;1
6;5;2012-06-10;22;0;0
6;5;2012-06-11;20;0;0
6;5;2012-06-12;12;0;0
6;5;2012-06-13;7;0;0
6;5;2012-06-14;11;0;0
6;5;2012-06-14;16;0;0
6;5;2012-06-15;6;0;0
6;5;2012-06-15;18;0;0
6;5;2012-06-15;20;0;0
6;5;2012-06-16;8;0;0
6;5;2012-06-16;16;0;0
6;5;2012-06-20;11;0;0
6;5;2012-06-21;20;0;0
6;5;2012-06-22;8;0;0
6;5;2012-06-23;14;0;0
6;5;2012-06-23;21;0;0
6;5;2012-06-24;22;0;0
6;5;2012-06-25;17;0;0
6;5;2012-06-25;19;0;0
6;5;2012-06-25;22;0;0
6;5;2012-06-26;16;0;0
6;5;2012-06-27;8;0;0
6;5;2012-06-27;15;0;0
6;5;2012-06-27;18;0;0
6;5;2012-06-28;20;0;0
6;5;2012-06-30;18;0;0
